metric,value,count
core_financial_terms,양도세,2
core_financial_terms,외국납부세액공제,2
core_financial_terms,고객예탁금,2
core_financial_terms,매수주문/매도주문,2
core_financial_terms,해외증권,2
core_financial_terms,개인회생,2
core_financial_terms,퇴직연금보험,2
core_financial_terms,투자신탁,2
core_financial_terms,공탁,2
core_financial_terms,잔금,2
core_financial_terms,FX,2
core_financial_terms,시가,2
core_financial_terms,최소발행금액,2
core_financial_terms,확정급여형퇴직연금,2
core_financial_terms,해외선물거래,2
core_financial_terms,거래세,2
core_financial_terms,코인,2
core_financial_terms,조건부지정가주문,2
core_financial_terms,선물/옵션,2
core_financial_terms,대체거래,2
core_financial_terms,재무제표,2
core_financial_terms,잔량,2
core_financial_terms,회생절차,2
core_financial_terms,자필서명,2
core_financial_terms,부가가치세,2
core_financial_terms,보증인,2
core_financial_terms,부채,2
core_financial_terms,주식매수청구권,2
core_financial_terms,채무불이행,2
core_financial_terms,이자지급일,2
core_financial_terms,금융사기방지,2
core_financial_terms,결제대금,2
core_financial_terms,수익증권,2
core_financial_terms,중도금,2
core_financial_terms,피싱,2
core_financial_terms,어린이보험,2
core_financial_terms,가계약,2
core_financial_terms,초회보험료,2
core_financial_terms,건강진단,2
core_financial_terms,중도증액제도,2
core_financial_terms,공동보험,2
core_financial_terms,저축보험료,2
core_financial_terms,변동이율,2
core_financial_terms,분납보험료,2
core_financial_terms,계약의부활,2
core_financial_terms,사망조사,2
core_financial_terms,납입유예기간,2
core_financial_terms,만료,2
core_financial_terms,미납보험료,2
core_financial_terms,영업보험료,2
core_financial_terms,모바일결제,2
core_financial_terms,계약금,2
core_financial_terms,연금담보대출,2
core_financial_terms,거래중지,2
core_financial_terms,역매매,2
core_financial_terms,사정,2
core_financial_terms,청년도약적금,2
core_financial_terms,비과세소득,2
core_financial_terms,휴면예금,2
core_financial_terms,감액옵션,2
core_financial_terms,대인배상책임보험,2
core_financial_terms,공구보험,2
core_financial_terms,정액보험,2
core_financial_terms,치료관계비,2
core_financial_terms,입원보험,2
core_financial_terms,보험가입금액,2
core_financial_terms,단체보험,2
core_financial_terms,카드승인,2
core_financial_terms,주택연금,2
core_financial_terms,페이,2
core_financial_terms,간편결제,2
core_financial_terms,매출,2
core_financial_terms,개인종합자산관리계좌,2
core_financial_terms,예수,1
core_financial_terms,실권주,1
core_financial_terms,인버스형ETF,1
core_financial_terms,인버스,1
core_financial_terms,코덱스,1
core_financial_terms,유상배정,1
core_financial_terms,사채,1
core_financial_terms,단주,1
core_financial_terms,분리과세,1
core_financial_terms,인수,1
core_financial_terms,고객예탁금이용료,1
core_financial_terms,강제매매,1
core_financial_terms,현금관리계좌(CMA),1
core_financial_terms,주가수익비율,1
core_financial_terms,종합과세제도,1
core_financial_terms,이체요청,1
core_financial_terms,공모펀드,1
core_financial_terms,가산세,1
core_financial_terms,외화대출,1
core_financial_terms,보통예금,1
core_financial_terms,순자산,1
core_financial_terms,서킷브레이커,1
core_financial_terms,리밸런싱,1
core_financial_terms,운용자산,1
core_financial_terms,일괄취소,1
core_financial_terms,매물대,1
core_financial_terms,장외거래,1
core_financial_terms,인버스레버리지,1
core_financial_terms,종합주가지수,1
core_financial_terms,수시매매,1
core_financial_terms,일반공모,1
core_financial_terms,모바일트레이딩시스템(MTS),1
core_financial_terms,매도가능수량,1
core_financial_terms,암호화폐,1
core_financial_terms,골든크로스,1
core_financial_terms,동시호가,1
core_financial_terms,주문가능수량,1
core_financial_terms,정기금,1
core_financial_terms,틱,1
core_financial_terms,고객확인재이행,1
core_financial_terms,위험률,1
core_financial_terms,채권의종류,1
core_financial_terms,거래대금,1
core_financial_terms,임대차계약,1
core_financial_terms,신용평가,1
core_financial_terms,청년임차보증금대출,1
core_financial_terms,신용카드한도,1
core_financial_terms,연금수급,1
core_financial_terms,기업보험,1
core_financial_terms,개인연금신탁,1
core_financial_terms,아포스티유,1
core_financial_terms,경기,1
core_financial_terms,대여종목,1
core_financial_terms,표준이율,1
core_financial_terms,신용융자거래,1
core_financial_terms,DSR,1
core_financial_terms,간접세,1
core_financial_terms,사모펀드,1
core_financial_terms,기관,1
core_financial_terms,고객식별번호,1
core_financial_terms,카드론,1
core_financial_terms,개인신용평점,1
core_financial_terms,가산금,1
core_financial_terms,분산투자,1
core_financial_terms,거치,1
core_financial_terms,사업비,1
core_financial_terms,정기보험,1
core_financial_terms,보험료납입면제,1
core_financial_terms,고용보험,1
core_financial_terms,요양급여,1
core_financial_terms,무효,1
core_financial_terms,설계판매,1
core_financial_terms,공매,1
core_financial_terms,적립보험료,1
core_financial_terms,갱신보험료,1
core_financial_terms,갱신형보험,1
core_financial_terms,일일거래한도,1
core_financial_terms,유지비,1
core_financial_terms,장해등급,1
core_financial_terms,면책금액,1
core_financial_terms,일일운전자보험,1
core_financial_terms,보험기간,1
core_financial_terms,갱신계약,1
core_financial_terms,특별약관,1
core_financial_terms,자기신체사고,1
core_financial_terms,고유,1
core_financial_terms,외국인전용입출금계좌,1
core_financial_terms,청소년미래적금,1
core_financial_terms,해외채권형펀드,1
core_financial_terms,가입자,1
core_financial_terms,명의개서,1
core_financial_terms,신탁,1
core_financial_terms,보험료율,1
core_financial_terms,중복보험,1
core_financial_terms,생명보험,1
core_financial_terms,공제조합,1
core_financial_terms,종신보험,1
core_financial_terms,소수점주문,1
core_financial_terms,결제차단,1
core_financial_terms,리볼빙,1
core_financial_terms,LTV,1
core_financial_terms,예금자보호,1
core_financial_terms,신용카드대금,1
core_financial_terms,세무서,1
core_financial_terms,파킹통장,1
core_financial_terms,적립식펀드,1
core_financial_terms,환매청구권,1
core_financial_terms,재무설계,1
core_financial_terms,통지의무,1
core_financial_terms,소비,1
core_financial_terms,분쟁신청,1
core_financial_terms,전환가격,1
core_financial_terms,커버드콜,1
core_financial_terms,상장사,1
core_financial_terms,개인형퇴직연금,1
core_financial_terms,개인연금저축,1
core_financial_terms,거래로그,1
core_financial_terms,상장종목,1
core_financial_terms,프로그램매매,1
core_financial_terms,내부자,1
core_financial_terms,가처분,1
